timestamp,open,high,low,close,volume
2023-07-24 00:00:00+00:00,0.15,5.29,0.15,2.161,89457456.3
2023-07-25 00:00:00+00:00,2.16,2.458,1.85,2.257,56332386.6
2023-07-26 00:00:00+00:00,2.257,2.55,2.149,2.25,42447395.0
2023-07-27 00:00:00+00:00,2.25,2.32,2.066,2.096,21246133.9
2023-07-28 00:00:00+00:00,2.096,2.237,2.05,2.219,16890436.7
2023-07-29 00:00:00+00:00,2.219,2.379,2.174,2.347,17461018.0
2023-07-30 00:00:00+00:00,2.346,2.493,2.222,2.288,17988633.7
2023-07-31 00:00:00+00:00,2.288,2.376,2.244,2.316,13857089.8
2023-08-01 00:00:00+00:00,2.316,2.451,2.196,2.43,16120912.4
2023-08-02 00:00:00+00:00,2.43,2.525,2.298,2.36,24744318.0
2023-08-03 00:00:00+00:00,2.36,2.376,2.253,2.325,10498756.4
2023-08-04 00:00:00+00:00,2.324,2.341,2.147,2.174,11420935.4
2023-08-05 00:00:00+00:00,2.174,2.183,2.084,2.13,7239460.0
2023-08-06 00:00:00+00:00,2.13,2.17,2.011,2.039,9673157.7
2023-08-07 00:00:00+00:00,2.042,2.11,2.018,2.039,9486314.8
2023-08-08 00:00:00+00:00,2.041,2.051,1.906,1.942,15798749.4
2023-08-09 00:00:00+00:00,1.941,1.964,1.808,1.834,9181266.9
2023-08-10 00:00:00+00:00,1.835,1.854,1.664,1.68,15073852.4
2023-08-11 00:00:00+00:00,1.681,1.773,1.65,1.746,13861953.3
2023-08-12 00:00:00+00:00,1.745,1.822,1.726,1.758,9209066.5
2023-08-13 00:00:00+00:00,1.758,1.837,1.758,1.768,9101163.6
2023-08-14 00:00:00+00:00,1.768,1.817,1.745,1.768,7672590.3
2023-08-15 00:00:00+00:00,1.768,1.794,1.581,1.62,10668595.6
2023-08-16 00:00:00+00:00,1.62,1.635,1.481,1.522,18235437.6
2023-08-17 00:00:00+00:00,1.523,1.544,1.2,1.367,17263106.7
2023-08-18 00:00:00+00:00,1.365,1.589,1.322,1.543,20986477.8
2023-08-19 00:00:00+00:00,1.542,1.545,1.446,1.48,9330031.6
2023-08-20 00:00:00+00:00,1.48,1.541,1.461,1.469,7986000.0
2023-08-21 00:00:00+00:00,1.468,1.531,1.414,1.476,8585154.9
2023-08-22 00:00:00+00:00,1.476,1.5,1.364,1.434,8138647.0
2023-08-23 00:00:00+00:00,1.435,1.448,1.334,1.407,8230995.8
2023-08-24 00:00:00+00:00,1.407,1.473,1.374,1.399,7469794.0
2023-08-25 00:00:00+00:00,1.4,1.4,1.243,1.269,9357580.9
2023-08-26 00:00:00+00:00,1.269,1.327,1.222,1.293,6477640.6
2023-08-27 00:00:00+00:00,1.294,1.313,1.266,1.312,4526936.9
2023-08-28 00:00:00+00:00,1.312,1.325,1.192,1.208,9918306.7
2023-08-29 00:00:00+00:00,1.208,1.385,1.11,1.297,32935118.9
2023-08-30 00:00:00+00:00,1.297,1.334,1.203,1.223,20347990.0
2023-08-31 00:00:00+00:00,1.223,1.281,1.12,1.135,14876811.0
2023-09-01 00:00:00+00:00,1.135,1.153,1.094,1.125,14511245.1
2023-09-02 00:00:00+00:00,1.125,1.216,1.105,1.136,20687021.8
2023-09-03 00:00:00+00:00,1.135,1.155,1.101,1.13,5887367.8
2023-09-04 00:00:00+00:00,1.13,1.17,1.022,1.048,14946164.9
2023-09-05 00:00:00+00:00,1.048,1.107,1.02,1.071,10784711.4
2023-09-06 00:00:00+00:00,1.072,1.336,1.052,1.29,46932460.3
2023-09-07 00:00:00+00:00,1.29,1.393,1.191,1.23,48015427.2
2023-09-08 00:00:00+00:00,1.23,1.253,1.113,1.135,15372742.1
2023-09-09 00:00:00+00:00,1.136,1.183,1.12,1.168,11138776.1
2023-09-10 00:00:00+00:00,1.167,1.182,1.056,1.093,14011976.1
2023-09-11 00:00:00+00:00,1.093,1.111,0.996,1.009,20794947.7
2023-09-12 00:00:00+00:00,1.01,1.063,0.971,1.01,18042964.5
2023-09-13 00:00:00+00:00,1.011,1.043,0.972,1.012,17564118.8
2023-09-14 00:00:00+00:00,1.013,1.119,0.997,1.067,17229787.4
2023-09-15 00:00:00+00:00,1.069,1.376,1.048,1.326,47412876.7
2023-09-16 00:00:00+00:00,1.326,1.724,1.31,1.505,106171716.9
2023-09-17 00:00:00+00:00,1.506,1.507,1.231,1.264,41079460.6
2023-09-18 00:00:00+00:00,1.264,1.497,1.232,1.353,43731635.5
2023-09-19 00:00:00+00:00,1.353,1.425,1.314,1.377,21320222.2
2023-09-20 00:00:00+00:00,1.378,1.58,1.353,1.561,35789939.7
2023-09-21 00:00:00+00:00,1.56,1.65,1.376,1.509,33812997.0
2023-09-22 00:00:00+00:00,1.509,1.648,1.455,1.604,28695927.9
2023-09-23 00:00:00+00:00,1.605,1.692,1.49,1.509,19796739.0
2023-09-24 00:00:00+00:00,1.509,1.681,1.493,1.621,16322504.0
2023-09-25 00:00:00+00:00,1.62,1.759,1.571,1.722,27924416.6
2023-09-26 00:00:00+00:00,1.722,1.789,1.635,1.691,21211798.1
2023-09-27 00:00:00+00:00,1.692,1.834,1.671,1.797,18089745.3
2023-09-28 00:00:00+00:00,1.797,1.899,1.774,1.79,20976773.0
2023-09-29 00:00:00+00:00,1.79,1.851,1.684,1.728,14784404.8
2023-09-30 00:00:00+00:00,1.729,1.817,1.657,1.669,14095697.1
2023-10-01 00:00:00+00:00,1.67,1.8,1.666,1.78,15827683.7
2023-10-02 00:00:00+00:00,1.78,1.806,1.611,1.641,12425463.2
2023-10-03 00:00:00+00:00,1.641,1.676,1.523,1.533,10592613.5
2023-10-04 00:00:00+00:00,1.533,1.562,1.453,1.542,10596901.7
2023-10-05 00:00:00+00:00,1.542,1.59,1.489,1.507,8096030.6
2023-10-06 00:00:00+00:00,1.508,1.69,1.504,1.653,11581325.2
2023-10-07 00:00:00+00:00,1.653,1.682,1.587,1.602,7910953.0
2023-10-08 00:00:00+00:00,1.602,1.635,1.566,1.583,3936957.6
2023-10-09 00:00:00+00:00,1.583,1.606,1.485,1.551,5980150.1
2023-10-10 00:00:00+00:00,1.55,1.57,1.51,1.552,4080862.7
2023-10-11 00:00:00+00:00,1.553,1.658,1.521,1.631,10854774.4
2023-10-12 00:00:00+00:00,1.632,1.639,1.444,1.463,11172281.6
2023-10-13 00:00:00+00:00,1.463,1.509,1.425,1.486,7111327.0
2023-10-14 00:00:00+00:00,1.486,1.516,1.462,1.495,3621340.8
2023-10-15 00:00:00+00:00,1.495,1.546,1.474,1.529,6395764.5
2023-10-16 00:00:00+00:00,1.528,1.688,1.51,1.609,15031876.1
2023-10-17 00:00:00+00:00,1.61,1.677,1.585,1.624,8903165.5
2023-10-18 00:00:00+00:00,1.625,1.642,1.452,1.455,9417427.6
2023-10-19 00:00:00+00:00,1.455,1.508,1.4,1.453,9967387.9
2023-10-20 00:00:00+00:00,1.452,1.571,1.435,1.518,8443161.2
2023-10-21 00:00:00+00:00,1.518,1.662,1.493,1.609,9890546.9
2023-10-22 00:00:00+00:00,1.609,1.736,1.566,1.633,13318240.6
2023-10-23 00:00:00+00:00,1.633,1.675,1.482,1.652,20086578.2
2023-10-24 00:00:00+00:00,1.651,1.807,1.591,1.679,23879620.5
2023-10-25 00:00:00+00:00,1.679,1.841,1.657,1.805,14184377.9
2023-10-26 00:00:00+00:00,1.804,1.927,1.685,1.854,16596868.6
2023-10-27 00:00:00+00:00,1.854,1.949,1.752,1.875,15314839.7
2023-10-28 00:00:00+00:00,1.875,1.956,1.824,1.837,12192827.3
2023-10-29 00:00:00+00:00,1.837,1.87,1.784,1.8,7545493.7
2023-10-30 00:00:00+00:00,1.8,1.938,1.8,1.887,9951434.9
2023-10-31 00:00:00+00:00,1.886,2.05,1.867,2.032,16713295.5
